location,rooms,area_m2,price,url
"Elan №5763846 - Bakı, Nəsimi m., 3 otaqlı, 93 m², 17/19 mərtəbə",3,93,600,https://bina.az/items/5763846
"Elan №5767739 - Bakı, İnşaatçılar m., 2 otaqlı, 63 m², 4/9 mərtəbə",2,63,550,https://bina.az/items/5767739
"Elan №5767735 - Bakı, Hövsan q., 3 otaqlı, 76 m², 9/12 mərtəbə",3,76,370,https://bina.az/items/5767735
"Elan №5621523 - Bakı, Ağ şəhər q., 2 otaqlı, 65 m², 4/7 mərtəbə",2,65,2000,https://bina.az/items/5621523
"Elan №5686722 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 100 m², 4/21 mərtəbə",3,100,1000,https://bina.az/items/5686722
"Elan №5745753 - Bakı, 8 Noyabr m., 3 otaqlı, 178 m², 25/27 mərtəbə",3,178,3200,https://bina.az/items/5745753
"Elan №5767729 - Bakı, Hövsan q., 3 otaqlı, 76 m², 4/12 mərtəbə",3,76,470,https://bina.az/items/5767729
"Elan №5767730 - Bakı, Badamdar q., 4 otaqlı, 180 m², 1/4 mərtəbə",4,180,1400,https://bina.az/items/5767730
"Elan №5741848 - Bakı, Nəsimi r., 2 otaqlı, 85 m², 14/16 mərtəbə",2,85,900,https://bina.az/items/5741848
"Elan №5766449 - Bakı, Xalqlar Dostluğu m., 2 otaqlı, 65 m², 6/14 mərtəbə",2,65,600,https://bina.az/items/5766449
"Elan №5758806 - Bakı, Ağ şəhər q., 2 otaqlı, 65 m², 2/7 mərtəbə",2,65,1900,https://bina.az/items/5758806
"Elan №5767728 - Bakı, Qara Qarayev m., 2 otaqlı, 90 m², 9/16 mərtəbə",2,90,930,https://bina.az/items/5767728
"Elan №5767725 - Bakı, Hövsan q., 2 otaqlı, 55 m², 6/7 mərtəbə",2,55,320,https://bina.az/items/5767725
